naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,class_label
12,72,3,4,1,0,0,31.97267857,5.7556624229999995,11.74926363,3,5.181678003,4.861768842,0,1,9,3,1,1,0,0.44814571200000003,3.3205931719999997,1.524250029,5.542770851,15.98547288,4,5.818040787,3.5877038039999998,0,2,0,0,0,0,0,0,-9.420810803,840.4096066,active
12,77,3,5,1,0,0,31.97207294,5.791025877,11.82002523,4,5.196280159,4.883976771,0,1,10,3,1,1,0,0.380391335,3.438128305,1.488871219,6.516660282999999,16.12166381,4,5.987236873,3.646044742,0,3,0,0,0,0,0,0,-7.877486541000001,407.33446810000004,active
18,71,3,5,1,0,0,31.97207294,5.788750127,11.81551309,4,5.016358716,4.704456362,0,1,15,4,1,0,0,0.380391335,3.438128305,1.4199724569999999,6.516660282999999,16.6310998,4,6.158302262,5.0970796819999995,0,3,0,0,0,0,0,0,-7.877486541000001,407.33446810000004,active
12,86,4,4,1,0,0,31.97267883,5.029951341,11.75774418,4,5.106192569,4.783504579,0,2,9,3,6,3,0,0.36311515299999997,3.996121838,2.110745848,6.535098443,15.41902176,3,5.825446857,3.4788286,0,2,0,0,0,0,0,0,-7.041996652000001,416.0240584,active
12,86,4,4,1,0,0,31.97267883,5.029951341,11.75774418,4,5.106192569,4.783504579,0,2,9,3,6,3,0,0.36311515299999997,3.996121838,2.110745848,6.535098443,15.41902176,3,5.825446857,3.4788286,0,2,0,0,0,0,0,0,-7.041996652000001,416.0240584,active
24,91,5,5,1,1,0,31.97207353,4.04466781,11.79336172,5,4.9596135189999995,4.826620848999999,0,3,19,5,4,0,0,0.39363455299999994,4.278917609,1.7380496909999998,8.192480147000001,17.39805974,3,6.239300711,4.0882352939999995,0,4,0,0,0,0,0,0,-8.059899908,621.2881321000001,active
18,91,5,7,1,1,0,31.97207355,4.044670012,11.7941289,6,5.0591840910000005,4.953466076000001,0,4,14,4,4,0,0,0.604157335,4.637040154,1.849256437,9.192577757,18.29988377,3,6.1881357779999995,3.7255061119999997,1,3,0,0,0,0,1,0,-15.22703276,734.8898887999999,inactive
18,91,5,7,1,1,0,31.97207355,4.044670012,11.7941289,6,5.0591840910000005,4.953466076000001,0,4,14,4,4,0,0,0.604157335,4.637040154,1.849256437,9.192577757,18.29988377,3,6.1881357779999995,3.7255061119999997,1,3,0,0,0,0,1,0,-15.22703276,734.8898887999999,inactive
24,91,5,5,1,1,0,31.97207353,4.04466781,11.79336172,5,4.9596135189999995,4.826620848999999,0,3,19,5,4,0,0,0.39363455299999994,4.278917609,1.7380496909999998,8.192480147000001,17.39805974,3,6.239300711,4.0882352939999995,0,4,0,0,0,0,0,0,-8.059899908,621.2881321000001,active
18,85,5,5,1,1,0,31.97207333,4.044666448,11.7931094,5,5.040572276,4.929731173,0,3,14,4,3,0,0,0.505661056,4.278917609,1.764536128,7.846734672,17.93112523,3,6.144051505,4.001864876,0,3,0,0,0,0,0,0,-14.53135804,546.570713,active
18,85,5,5,1,1,0,31.97207333,4.044666448,11.7931094,5,5.040572276,4.929731173,0,3,14,4,3,0,0,0.505661056,4.278917609,1.764536128,7.846734672,17.93112523,3,6.144051505,4.001864876,0,3,0,0,0,0,0,0,-14.53135804,546.570713,active
18,84,5,5,1,1,0,31.97207328,4.044664587,11.79289653,5,4.990342502,4.865728076,0,3,14,4,5,0,0,0.32146577,4.074793464,1.620198561,7.759467445,18.02544537,3,6.133262459,4.119953416,0,3,0,0,0,0,0,0,-17.02987319,573.3890501,active
18,84,5,5,1,1,0,31.97207328,4.044664587,11.79289653,5,4.990342502,4.865728076,0,3,14,4,5,0,0,0.32146577,4.074793464,1.620198561,7.759467445,18.02544537,3,6.133262459,4.119953416,0,3,0,0,0,0,0,0,-17.02987319,573.3890501,active
18,67,3,5,1,1,0,31.97207291,4.044534145,11.77592907,4,4.960437686000001,4.827669155,0,2,14,4,2,0,0,0.32146577,3.603388943,1.416935429,6.6811828360000005,18.75754032,3,6.093428677,4.50052521,0,3,0,0,0,0,0,0,-15.55045149,858.4764637,active
18,99,5,7,2,1,0,31.97307621,4.0446927089999996,11.7965871,7,5.031009235,5.028059133,0,3,14,4,6,1,0,0.32146577,5.974666332999999,2.5136260480000003,8.68029145,19.15579354,4,6.194277832,3.803453307,0,3,0,0,0,0,0,0,-26.16118745,679.5825848999999,inactive
18,99,5,7,2,1,0,31.97307621,4.0446927089999996,11.7965871,7,5.031009235,5.028059133,0,3,14,4,6,1,0,0.32146577,5.974666332999999,2.5136260480000003,8.68029145,19.15579354,4,6.194277832,3.803453307,0,3,0,0,0,0,0,0,-26.16118745,679.5825848999999,active
18,94,5,6,1,1,0,31.97207349,4.04467451,11.79466288,5,5.042345495,4.9319920889999995,0,3,14,4,6,1,0,0.32146577,4.4140061610000005,1.986171357,7.93029145,17.63650666,4,6.152599707,3.917096043,0,3,0,0,0,0,0,0,-15.42565337,800.0612686000001,active
18,94,5,6,1,1,0,31.97207349,4.04467451,11.79466288,5,5.042345495,4.9319920889999995,0,3,14,4,6,1,0,0.32146577,4.4140061610000005,1.986171357,7.93029145,17.63650666,4,6.152599707,3.917096043,0,3,0,0,0,0,0,0,-15.42565337,800.0612686000001,active
18,96,5,5,1,1,0,31.97207348,4.044680774,11.79504742,5,5.031009235,4.9175395260000005,0,3,14,4,6,1,0,0.32146577,4.4140061610000005,1.986171357,7.93029145,17.02836199,5,6.152599707,3.917096043,0,3,0,0,0,0,0,0,-15.42565337,800.0612686000001,active
18,96,5,5,1,1,0,31.97207348,4.044680774,11.79504742,5,5.031009235,4.9175395260000005,0,3,14,4,6,1,0,0.32146577,4.4140061610000005,1.986171357,7.93029145,17.02836199,5,6.152599707,3.917096043,0,3,0,0,0,0,0,0,-15.42565337,800.0612686000001,active
18,93,5,5,1,1,0,31.97207343,4.044676293,11.79443288,5,5.017490116,4.900309166,0,3,14,4,6,1,0,0.32146577,4.4140061610000005,1.986171357,7.979106986000001,17.25889328,4,6.14833474,3.975516007,0,3,0,0,0,0,0,0,-13.23089038,641.4904876,active
18,93,5,5,1,1,0,31.97207343,4.044676293,11.79443288,5,5.017490116,4.900309166,0,3,14,4,6,1,0,0.32146577,4.4140061610000005,1.986171357,7.979106986000001,17.25889328,4,6.14833474,3.975516007,0,3,0,0,0,0,0,0,-13.23089038,641.4904876,active
18,90,5,5,1,1,0,31.97207338,4.044666878999999,11.79320419,5,5.003329268,4.882267466,0,3,14,4,6,1,0,0.32146577,4.483041755,2.028446852,8.04814258,17.501254199999998,3,6.141902987999999,4.038158463,0,3,0,0,0,0,0,0,-10.95976511,585.4696388,active
18,90,5,5,1,1,0,31.97207338,4.044666878999999,11.79320419,5,5.003329268,4.882267466,0,3,14,4,6,1,0,0.32146577,4.483041755,2.028446852,8.04814258,17.501254199999998,3,6.141902987999999,4.038158463,0,3,0,0,0,0,0,0,-10.95976511,585.4696388,active
