"","naAromAtom","nAtom","nN","nO","nS","nF","BCUTw.1h","BCUTp.1l","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C4SP3","SCH.7","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nFG12Ring","n6HeteroRing","VE3_D","VR1_D","class_label"
"11",12,68,5,3,0,6,19.00383945,3.64976358,2,5.531417465,5.523020804,0,1,9,3,8,0,0.31500263,1.222115232,7.075206911,19.82300128,3,6.034284544,3.817282147,0,3,0,0,0,1,-6.252304683,1063.523444,1
"12",11,35,4,2,2,0,31.973073,4.598134083,2,4.649604906,4.638041769,0,0,6,1,3,0,0.27300174,0.579164902,2.518753283,23.22766316,0,5.267535942,4.381520356,1,1,0,0,0,0,-5.153389239,439.2217899,1
"13",12,56,4,3,0,0,34.96885395,4.742799522,2,4.674871646,4.664352089,0,1,11,1,4,0,0.268938841,0.81803628,3.390622978,17.93167999,3,5.645226025,4.248665846,0,2,0,0,0,0,-9.140418595,331.6381575,1
"14",6,109,6,7,0,0,16.00099972,4.8839693,5,4.938082253,4.927184124,0,6,2,1,11,0,0.072168784,2.884844884,8.049396803,14.10522675,5,5.066148837,1.585355392,0,1,0,0,0,1,-7.792674678,714.5538565,1
"15",6,106,6,7,0,0,16.00099793,4.844673537,5,4.928384278,4.917424257,0,6,2,1,11,0,0.072168784,2.982475957,7.978955181,14.23894051,4,5.03410765,1.599457619,0,1,0,0,0,1,-8.399318803,684.4409055,1
"16",12,70,3,5,1,0,31.97207279,5.495148218,4,5.083524713,4.769051156,0,1,10,3,3,0,0.32146577,1.633208787,6.656584387,16.74905444,4,5.927759012,3.834297404,0,2,0,0,0,0,-7.129935014,439.2667154,1
"17",12,70,3,4,1,0,31.97267857,5.766209372,4,5.111343613,4.788980479,0,1,11,3,1,0,0.448145712,1.465166465,5.542770851,16.1662483,4,5.950479779,4.346671196,0,2,0,0,0,0,-9.420810803,840.4096066,1
"18",12,74,3,5,1,0,31.97207289,5.761104764,4,5.183408057,4.870862615,0,1,10,3,1,0,0.452911625,1.488871219,6.516660283,16.37970438,4,5.982203041,3.706767364,1,2,0,0,0,0,-7.308109138,520.6520668,1
"19",12,70,3,4,1,0,31.97267857,5.766209372,4,5.111343613,4.788980479,0,1,11,3,1,0,0.448145712,1.465166465,5.542770851,16.1662483,4,5.950479779,4.346671196,0,2,0,0,0,0,-9.420810803,840.4096066,1
"20",12,66,4,5,1,0,31.97207274,5.097028566,4,5.071956615,4.76034466,0,2,9,3,1,0,0.32146577,1.336639123,6.064396936,17.74982826,4,5.897325556,3.839423077,0,2,0,0,0,0,-7.482207397,356.8786493,1
"21",12,72,3,4,1,0,31.97267857,5.755662423,3,5.181678003,4.861768842,0,1,9,3,1,0,0.448145712,1.524250029,5.542770851,15.98547288,4,5.818040787,3.587703804,0,2,0,0,0,0,-9.420810803,840.4096066,1
"22",12,77,3,5,1,0,31.97207294,5.791025877,4,5.196280159,4.883976771,0,1,10,3,1,0,0.380391335,1.488871219,6.516660283,16.12166381,4,5.987236873,3.646044742,0,3,0,0,0,0,-7.877486541,407.3344681,1
"23",18,71,3,5,1,0,31.97207294,5.788750127,4,5.016358716,4.704456362,0,1,15,4,1,0,0.380391335,1.419972457,6.516660283,16.6310998,4,6.158302262,5.097079682,0,3,0,0,0,0,-7.877486541,407.3344681,1
"24",12,86,4,4,1,0,31.97267883,5.029951341,4,5.106192569,4.783504579,0,2,9,3,6,0,0.363115153,2.110745848,6.535098443,15.41902176,3,5.825446857,3.4788286,0,2,0,0,0,0,-7.041996652,416.0240584,1
"25",12,86,4,4,1,0,31.97267883,5.029951341,4,5.106192569,4.783504579,0,2,9,3,6,0,0.363115153,2.110745848,6.535098443,15.41902176,3,5.825446857,3.4788286,0,2,0,0,0,0,-7.041996652,416.0240584,1
"26",24,91,5,5,1,1,31.97207353,4.04466781,5,4.959613519,4.826620849,0,3,19,5,4,0,0.393634553,1.738049691,8.192480147,17.39805974,3,6.239300711,4.088235294,0,4,0,0,0,0,-8.059899908,621.2881321,1
"27",18,91,5,7,1,1,31.97207355,4.044670012,6,5.059184091,4.953466076,0,4,14,4,4,0,0.604157335,1.849256437,9.192577757,18.29988377,3,6.188135778,3.725506112,1,3,0,0,0,0,-15.22703276,734.8898888,2
"28",18,91,5,7,1,1,31.97207355,4.044670012,6,5.059184091,4.953466076,0,4,14,4,4,0,0.604157335,1.849256437,9.192577757,18.29988377,3,6.188135778,3.725506112,1,3,0,0,0,0,-15.22703276,734.8898888,2
"29",24,91,5,5,1,1,31.97207353,4.04466781,5,4.959613519,4.826620849,0,3,19,5,4,0,0.393634553,1.738049691,8.192480147,17.39805974,3,6.239300711,4.088235294,0,4,0,0,0,0,-8.059899908,621.2881321,1
"30",18,85,5,5,1,1,31.97207333,4.044666448,5,5.040572276,4.929731173,0,3,14,4,3,0,0.505661056,1.764536128,7.846734672,17.93112523,3,6.144051505,4.001864876,0,3,0,0,0,0,-14.53135804,546.570713,1
"31",18,85,5,5,1,1,31.97207333,4.044666448,5,5.040572276,4.929731173,0,3,14,4,3,0,0.505661056,1.764536128,7.846734672,17.93112523,3,6.144051505,4.001864876,0,3,0,0,0,0,-14.53135804,546.570713,1
"32",18,84,5,5,1,1,31.97207328,4.044664587,5,4.990342502,4.865728076,0,3,14,4,5,0,0.32146577,1.620198561,7.759467445,18.02544537,3,6.133262459,4.119953416,0,3,0,0,0,0,-17.02987319,573.3890501,1
"33",18,84,5,5,1,1,31.97207328,4.044664587,5,4.990342502,4.865728076,0,3,14,4,5,0,0.32146577,1.620198561,7.759467445,18.02544537,3,6.133262459,4.119953416,0,3,0,0,0,0,-17.02987319,573.3890501,1
