,HD,HA,logP,MW,sum,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
56,0,0,1,0,1,active,CHEMBL208809,C[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NC1CC1,637.778,4,6,3.3103,7.619788758
57,0,0,1,0,1,active,CHEMBL208808,CCNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,625.767,4,6,3.1678,6.616184634
58,0,0,1,0,1,active,CHEMBL208808,CCNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,625.767,4,6,3.1678,7.283996656
60,0,0,1,0,1,active,CHEMBL380257,C[C@@H](NC(=O)c1cc(C(=O)N[C@H](CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,527.618,3,5,3.0459,6.200659451
61,0,0,1,0,1,inactive,CHEMBL211899,CC(C)CNC(=O)[C@H](CCS(C)(=O)=O)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,745.94,4,8,3.2187,4.756961951
62,0,0,1,0,1,active,CHEMBL211899,CC(C)CNC(=O)[C@H](CCS(C)(=O)=O)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,745.94,4,8,3.2187,7.886056648
63,0,0,1,0,1,active,CHEMBL379781,CC(C)CNC(=O)[C@H](CCO)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,683.847,5,7,3.1664,6.124360063
64,0,0,1,0,1,active,CHEMBL379781,CC(C)CNC(=O)[C@H](CCO)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,683.847,5,7,3.1664,7.886056648
65,0,0,1,0,1,active,CHEMBL211563,CCC[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCC(C)C,681.875,4,6,4.5841,7.769551079
66,0,0,1,0,1,active,CHEMBL211563,CCC[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCC(C)C,681.875,4,6,4.5841,8.397940009
67,0,0,1,0,1,active,CHEMBL209372,CC[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCC(C)C,667.848,4,6,4.194,7.698970004
68,0,0,1,0,1,active,CHEMBL209372,CC[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCC(C)C,667.848,4,6,4.194,8.15490196
69,0,0,1,0,1,active,CHEMBL379513,CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,653.821,4,6,3.8039,7.657577319
70,0,0,1,0,1,active,CHEMBL379513,CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,653.821,4,6,3.8039,8.096910013
72,0,0,1,0,1,active,CHEMBL384678,CC(C)CNC(=O)CNC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,639.794,4,6,3.4154,6.931814138
73,0,0,0,0,0,inactive,CHEMBL210022,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,496.718,5,6,1.7307,5
74,0,0,0,0,0,inactive,CHEMBL437496,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,496.718,5,6,1.7307,5
75,0,0,0,0,0,inactive,CHEMBL439148,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,496.718,5,6,1.5882,5
76,0,0,0,0,0,inactive,CHEMBL211193,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,496.718,5,6,1.5882,5
77,0,0,1,0,1,active,CHEMBL210240,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,514.758,5,7,1.4361,6.721246399
78,0,0,1,0,1,inactive,CHEMBL211194,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,514.758,5,7,1.4361,4.920818754
79,0,0,1,0,1,inactive,CHEMBL213300,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,514.758,5,7,1.2936,5
80,0,0,1,0,1,inactive,CHEMBL210176,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,514.758,5,7,1.2936,5
82,0,0,1,0,1,inactive,CHEMBL425424,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(cc2)CSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,566.79,5,7,1.9642,5
83,0,0,1,0,1,active,CHEMBL377548,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,558.742,5,8,1.4922,6.292429824
84,0,0,1,0,1,inactive,CHEMBL213595,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC/C=C/COC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,542.674,5,8,0.7756,4.692503962
85,0,0,1,0,1,inactive,CHEMBL379824,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COCCCCOC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,544.69,5,8,0.9996,5
86,0,0,0,0,0,active,CHEMBL211384,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(C)=O,498.709,4,5,2.2184,7
87,0,0,0,0,0,active,CHEMBL209795,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(C)=O,484.682,5,5,1.8762,6.920818754
88,0,0,0,0,0,inactive,CHEMBL209847,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](N)C(=O)N[C@@H](C)C(=O)N1,474.693,5,7,0.6428,5
89,0,0,0,0,0,inactive,CHEMBL212321,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSCCC(=O)N[C@@H](C)C(=O)N1,459.678,4,6,1.7056,5
90,0,0,0,0,0,inactive,CHEMBL211848,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSCCC(=O)N[C@@H](C)C(=O)N1,459.678,4,6,1.7056,5
91,0,0,1,0,1,inactive,CHEMBL213830,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,546.8,5,7,1.8244,5
92,0,0,1,0,1,inactive,CHEMBL213858,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,532.773,5,7,1.4343,5
93,0,0,1,0,1,inactive,CHEMBL211152,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,518.746,5,7,1.0442,5
96,0,0,1,0,1,inactive,CHEMBL212357,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(cc2)CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,624.87,5,8,3.3528,5
97,0,0,1,0,1,inactive,CHEMBL211107,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,604.88,5,8,3.213,5
98,0,0,1,0,1,inactive,CHEMBL211432,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,590.853,5,8,2.8229,4.772113295
99,0,0,1,0,1,inactive,CHEMBL213301,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,576.826,5,8,2.4328,4.698970004
100,0,0,1,0,1,active,CHEMBL209632,O=C(Nc1cc(-c2ccccc2)ccc1N1CCNCC1)c1cc2ccccc2oc1=O.O=C(O)C(F)(F)F,539.51,3,6,4.7552,6.236572006
104,0,0,0,0,0,inactive,CHEMBL379100,COc1cccc2cc(C(=O)Nc3cc(Br)ccc3N3CCOCC3)c(=O)oc12,459.296,1,6,3.653,5
105,0,0,0,0,0,active,CHEMBL211214,O=C(Nc1cc(Br)ccc1N1CCN(CCO)CC1)c1cc2ccccc2oc1=O,472.339,2,6,2.9221,6.200659451
106,0,0,1,0,1,active,CHEMBL381919,O=C(Nc1cc(Br)ccc1N1CCNCC1)c1cc2ccccc2oc1=O.O=C(O)C(F)(F)F,542.308,3,6,3.8507,6.173925197
108,0,0,0,0,0,inactive,CHEMBL212873,O=C(Nc1cc(Br)ccc1N1CCOCC1)c1cc2ccccc2oc1=O,429.27,1,5,3.6444,5
109,0,0,0,1,1,active,CHEMBL379820,NCCCCCN1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2cccc3ccccc23)CC1,492.667,2,4,6.0101,7.167491087
110,0,0,0,1,1,active,CHEMBL211256,CCOC(=O)CN1CCN(c2ccc(-c3ccccc3)cc2NC(=O)c2cccc3ccccc23)CC1,493.607,1,5,5.4442,7.045757491
111,0,0,0,0,0,active,CHEMBL377581,O=C(Nc1cc(-c2ccccc2)ccc1N1CCN(CCO)CC1)c1cccc2ccccc12,451.57,2,4,4.8734,6.958607315
112,0,0,0,1,1,active,CHEMBL211995,O=C(Nc1cc(-c2ccccc2)ccc1N1CCNCC1)c1cccc2ccccc12,407.517,2,3,5.1687,6.522878745
114,0,0,0,0,0,active,CHEMBL213904,O=C(Nc1cc(Br)ccc1N1CCN(CCO)CC1)c1cccc2ccccc12,454.368,2,4,3.9689,7.102372909
116,0,0,0,0,0,inactive,CHEMBL212681,O=C(Nc1cc(Br)ccc1N1CCOCC1)c1cccc2ccccc12,411.299,1,3,4.6912,4.698970004
118,0,0,0,0,0,inactive,CHEMBL264296,CNC(=O)c1cc(C(=O)NC(CO)Cc2cccc(OC)c2)cc(N(C)S(C)(=O)=O)c1,449.529,3,6,0.784,4
119,0,0,1,0,1,active,CHEMBL217374,CC[C@H](NCC1Cc2cccc(c2)CCCCc2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(=O)NCC(C)C,556.773,3,5,3.4427,7.045757491
121,0,0,1,0,1,active,CHEMBL384496,CC[C@H](NCC1Cc2cccc(c2)OCCNC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(=O)NCC(C)C,587.743,4,7,1.6861,7.494850022
125,0,0,0,0,0,active,CHEMBL401587,CCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2CC(=O)/N=C(/N)NCCCO)cc1,468.985,3,4,4.0776,6.958607315
126,0,0,0,0,0,active,CHEMBL403819,N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCCO,434.584,3,3,3.4362,6.619788758
127,0,0,0,1,1,active,CHEMBL253237,CC(=O)c1ccc(Oc2ccc(-c3ccc(-c4ccccc4Cl)n3CC(=O)NC(=N)N)cc2)cc1,486.959,3,5,5.48007,6.795880017
128,0,0,0,0,0,active,CHEMBL402330,NC(N)=NC(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2,376.504,2,2,3.4229,6.22184875
129,0,0,1,0,1,active,CHEMBL219601,C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)(N)Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,551.644,2,7,4.1791,7.187086643
130,0,0,1,0,1,active,CHEMBL219601,C[C@@H](NC(=O)c1cc(-c2nnc([C@](C)(N)Cc3ccccc3)o2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,551.644,2,7,4.1791,7.920818754
131,0,0,1,0,1,active,CHEMBL218451,C[C@@H](NC(=O)c1cc(COC(=O)[C@](C)(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,541.645,2,6,3.7158,7.568636236
132,0,0,1,0,1,active,CHEMBL373423,C[C@@H](NC(=O)c1cc(COC[C@](C)(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,527.662,2,5,4.1892,6.366531544
135,0,0,1,0,1,active,CHEMBL375217,C[C@@H](NC(=O)c1cc(C(=O)OCC(N)(CO)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,557.644,3,7,2.8018,6.698970004
136,0,0,1,0,1,inactive,CHEMBL216593,C[C@@H](NC(=O)c1cc(C2=NC(CO)(Cc3ccccc3)CO2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,539.629,2,6,3.4631,4.903089987
137,0,0,1,0,1,active,CHEMBL375540,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CN[C@@H](C)C(=O)NCC(C)C)c1,574.713,4,5,3.6793,6.886056648
138,0,0,1,0,1,active,CHEMBL265862,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNC(C)(C)C(=O)NCC(C)C)c1,602.767,4,5,4.37782,6.698970004
139,0,0,1,0,1,active,CHEMBL265861,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CN[C@@H](C)C(=O)NCC(C)C)c1,588.74,4,5,3.98772,7.15490196
140,0,0,1,0,1,active,CHEMBL220813,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CN[C@H](C)C(=O)NCC(C)C)c1,574.713,4,5,3.6793,6.301029996
141,0,0,0,0,0,inactive,CHEMBL61236,Nc1ccc2ccccc2n1,144.177,1,2,1.817,3
142,0,0,0,0,0,inactive,CHEMBL219680,Nc1cccc(CCc2ccccc2)n1,198.269,1,2,2.449,3
143,0,0,0,0,0,inactive,CHEMBL221118,Nc1cccc(CCc2ccc3cc[nH]c3c2)n1,237.306,2,2,2.9303,4.026872146
144,0,0,0,0,0,inactive,CHEMBL221170,COc1cccc(-c2cccc(CCc3cccc(N)n3)c2)c1,304.393,1,3,4.1246,4.602059991
145,0,0,0,0,0,inactive,CHEMBL220895,CCCOc1cncc(-c2cccc(CNc3cccnc3N)c2)c1,334.423,2,5,4.1267,4.619788758
146,0,0,0,0,0,inactive,CHEMBL220396,COc1cncc(-c2cccc(CNc3cccnc3N)c2)c1,306.369,2,5,3.3465,4.397940009
147,0,0,0,0,0,inactive,CHEMBL220346,Nc1ncccc1NCc1cccc(-c2cccnc2)c1,276.343,2,4,3.3379,4
148,0,0,0,0,0,inactive,CHEMBL435747,Nc1ncccc1NCc1ccccc1,199.257,2,3,2.2759,3.508638306
150,0,0,0,1,1,active,CHEMBL220826,Nc1ncccc1NCc1cc(-c2ccc3cc[nH]c3c2)ccc1OCc1ccccc1,420.516,3,4,6.0032,6.161150909
152,0,0,0,0,0,inactive,CHEMBL435747,Nc1ncccc1NCc1ccccc1,199.257,2,3,2.2759,3.508638306
153,0,0,1,0,1,inactive,CHEMBL222533,C=CCN(CC=C)C(=O)c1cc(OCC(=O)NCCCCCN)cc(C(=O)N[C@H](C)c2ccccc2)c1,506.647,3,5,3.6158,4.602059991
155,0,0,1,0,1,inactive,CHEMBL374512,C[C@@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(OS(=O)(=O)Cc2ccccc2)c1)c1ccccc1,553.681,3,7,3.7104,4
157,0,0,0,0,0,inactive,CHEMBL222794,C[C@@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(-c2ccccc2C#N)c1)c1ccccc1,484.6,3,5,4.34028,4.677780705
158,0,0,1,0,1,active,CHEMBL221454,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)C(O)CNC2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccccc1,578.735,4,6,3.0274,7.823908741
159,0,0,1,0,1,active,CHEMBL376277,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N(C)S(=O)(=O)N(C)C)c1)c1ccccc1,607.777,4,6,2.8742,7.853871964
160,0,0,1,0,1,active,CHEMBL162970,CC(C)S(=O)(=O)N(C)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(C(=O)N[C@H](C)c2ccccc2)c1,606.789,4,6,3.806,7.387216143
161,0,0,1,0,1,active,CHEMBL266891,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)C)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,612.768,4,6,3.8026,7.823908741
162,0,0,1,0,1,active,CHEMBL376072,CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,584.714,4,6,3.024,7.823908741
163,0,0,1,0,1,active,CHEMBL225442,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,556.66,4,6,2.3732,7.638272164
164,0,0,1,0,1,active,CHEMBL377625,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,596.725,4,6,3.1665,8
