"","naAromAtom","nAtom","nN","nCl","BCUTw.1h","BCUTp.1l","BCUTp.1h","nBondsD","SpMax1_Bhs","SpMax2_Bhs","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C3SP3","C4SP3","SCH.7","SC.3","VC.3","SPC.4","MIC0","nAtomLAC","piPC6","R_TpiPCTPC","n5Ring","n6Ring","nF9Ring","nF10Ring","nHeteroRing","n6HeteroRing","VE3_D","VR1_D","pIC50"
"1",18,67,1,0,15.9949227138167,6.65643406710516,9.9007873210029,0,4.06731133112789,3.95886764303068,0,0,13,5,4,1,0,0.526807570873743,1.48316324759439,0.918921352080684,3.52144384586807,9.43771273973031,2,6.22083864817283,6.37353275565388,0,5,0,1,1,1,-17.743103254571,432.66750202895,6.45593195564972
"2",24,95,3,0,18.9994220216675,4.23525048065186,10.9612798853173,5,4.96244967188833,4.85415296581471,0,5,18,6,2,1,0,0.466025838448547,4.05348337641962,1.71050476000283,8.67803126819667,16.4166441862282,5,6.60724122771498,5.22515570367133,0,4,0,0,0,0,-11.027942270137,676.229552053777,6.92081875395237
"3",12,89,5,0,18.9984105140576,4.60314609095096,10.9792703953279,4,5.03919784331402,4.80808417897947,0,6,7,2,7,3,0,0.144337567297406,3.22003029978364,1.85612069769194,7.16742315782046,15.2458638397149,6,5.14093229504411,2.34140037593985,0,2,0,0,1,1,-9.08488925491161,509.722006747451,5.94692155651658
"4",12,89,5,0,15.9989677688182,4.87831307695353,10.9806921262631,4,4.79865560573434,4.79784922407249,0,6,7,2,7,3,0,0.144337567297406,3.15546804138359,1.88128479453743,5.98937450843709,13.8577891467156,6,5.1232196548434,2.37556378865979,0,2,0,0,1,1,-9.31661712602029,463.913693076086,5.7594507517174
"5",18,101,3,0,18.9994220208106,4.23526810455324,10.961845037351,5,5.10221963461117,5.00601805513793,0,5,14,4,2,3,0,0.466025838448547,4.05348337641962,1.90640917342665,8.67803126819667,16.0788414406962,5,6.34355085433758,4.29569766171329,0,4,0,0,0,0,-11.0279422701369,676.229552053777,6.92081875395237
"6",18,101,3,0,18.9994220208106,4.23526810455324,10.961845037351,5,5.10221963461117,5.00601805513793,0,5,14,4,2,3,0,0.466025838448547,4.05348337641962,1.90640917342665,8.67803126819667,16.0788414406962,5,6.34355085433758,4.29569766171329,0,4,0,0,0,0,-11.0279422701369,676.229552053777,5
"7",10,96,3,0,16.0030078547994,4.68641550540924,10.6359483840973,5,4.89460078156365,4.8902242193863,0,5,7,3,4,4,0,0.369226785026512,3.68025725246192,2.07081817602301,7.89351347133225,14.1766145107446,7,6.09300527666294,3.90779228954623,0,3,0,1,0,0,-22.8144772090971,664.5215145728,3.85387196432176
"8",12,34,0,0,16.0016551567597,4.92051396672357,10.0207030635418,1,4.79220773686459,4.39083983709187,0,0,11,2,0,0,0,0.533011447054058,1.96120930317351,0.68733792261703,4.74640214217378,14.2930886501156,0,5.94296340366804,5.18857493857494,0,3,0,1,1,1,-4.61526400134343,244.088991210378,4.45593195564972
"9",12,36,0,0,16.0009410922878,5.00068615254914,9.99901758807665,0,4.50180882960204,4.40639297314978,0,0,10,2,0,0,0,0.547409508396029,2.02943312621599,0.741076060692917,4.70350216781135,14.1970886457992,0,5.88157992420353,4.97877652933833,0,3,0,1,1,1,-7.00108721052211,229.606413173597,5.61978875828839
"10",12,36,0,0,16.0009410922878,5.00068615254914,9.99901758807665,0,4.50180882960204,4.40639297314978,0,0,10,2,0,0,0,0.547409508396029,2.02943312621599,0.741076060692917,4.70350216781135,14.1970886457992,0,5.88157992420353,4.97877652933833,0,3,0,1,1,1,-7.00108721052211,229.606413173597,5.60205999132796
"11",18,50,0,0,16.0039700502715,4.9419525704747,10.7077329157589,1,4.787953353862,4.44050824549071,0,1,15,3,0,0,0,0.706504136460266,2.83417098034036,0.985991295092489,6.70683587336572,14.216337370843,0,6.25021652588956,4.61840356871678,0,4,0,1,1,1,-5.78866353073029,288.983913362734,5.22184874961636
"12",12,34,0,0,16.0016551567597,4.92051396672357,10.0207030635418,1,4.79220773686459,4.39083983709187,0,0,11,2,0,0,0,0.533011447054058,1.96120930317351,0.68733792261703,4.74640214217378,14.2930886501156,0,5.94296340366804,5.18857493857494,0,3,0,1,1,1,-4.61526400134343,244.088991210378,4.52287874528034
"13",12,35,0,0,15.9999373162771,4.9179991893133,9.94020338323175,0,4.40882964422454,4.3746096669711,0,0,10,2,0,0,0,0.524034300328257,1.83698303648612,0.685174361255422,4.15981425624464,13.7959881006139,0,5.78785551117077,4.98544751009421,0,3,0,1,1,1,-5.19086516154584,244.689808904333,4.55284196865778
"14",18,50,0,0,16.0039700502715,4.9419525704747,10.7077329157589,1,4.787953353862,4.44050824549071,0,1,15,3,0,0,0,0.706504136460266,2.83417098034036,0.985991295092489,6.70683587336572,14.216337370843,0,6.25021652588956,4.61840356871678,0,4,0,1,1,1,-5.78866353073029,288.983913362734,5.34678748622466
"15",12,35,0,0,15.9999373162771,4.9179991893133,9.94020338323175,0,4.40882964422454,4.3746096669711,0,0,10,2,0,0,0,0.524034300328257,1.83698303648612,0.685174361255422,4.15981425624464,13.7959881006139,0,5.78785551117077,4.98544751009421,0,3,0,1,1,1,-5.19086516154584,244.689808904333,4.63827216398241
"16",12,89,3,0,18.9994179616107,3.72830286800463,11.1142821087611,4,5.17566169250353,5.08505301738947,0,4,9,3,6,1,0,0.280420330785361,2.92261290913518,1.11005717654568,5.79059166488802,15.7117369752788,7,5.78478625880929,3.18141191709845,0,2,0,0,0,0,-7.92327525179056,1092.24194434358,6.39794000867204
"17",12,83,3,0,18.9994173819305,3.74801444641323,11.1092350968557,4,5.14719141305686,5.05447119473632,0,4,9,3,6,1,0,0.280420330785361,2.92261290913518,1.11005717654568,5.79059166488802,16.1420547197492,7,5.79091537203971,3.24420309168443,0,2,0,0,0,0,-20.1553807551075,616.515242829934,5.55284196865778
"18",0,93,4,0,31.9720729919848,4.40691140954,11.2619273350515,4,5.08016800420041,5.06056549436662,0,4,0,0,8,4,0,0.262762706052262,2.89646726928392,1.75731081453812,5.0546111447044,15.3583043950838,5,4.60517018598809,1.18157543391188,1,0,0,0,0,0,-12.4229335748793,438.201458129571,5.73992861201492
"19",12,68,5,0,19.0038394467829,3.64976358022406,10.6487016091443,2,5.53141746491999,5.52302080426807,0,1,9,3,8,0,0,0.315002630389457,4.76297463315906,1.22211523179451,7.07520691067851,19.8230012773355,3,6.03428454429091,3.8172821466525,0,3,0,0,1,1,-6.25230468291126,1063.52344427922,7.23807216157947
"20",11,35,4,0,31.9730730002726,4.59813408349376,10.8294446660617,2,4.64960490597438,4.63804176862133,0,0,6,1,3,0,0,0.273001740161575,1.40104757029061,0.579164902106066,2.51875328269881,23.2276631588331,0,5.2675359422086,4.3815203562341,1,1,0,0,1,0,-5.1533892393537,439.221789924925,7.60205999132796
"21",12,56,4,1,34.9688539451766,4.74279952205454,10.5991797592944,2,4.67487164633341,4.66435208894995,0,1,11,1,4,0,0,0.26893884099652,1.82679968035825,0.818036279622718,3.39062297788358,17.9316799916851,3,5.64522602519618,4.2486658456486,0,2,0,0,0,0,-9.14041859450442,331.638157544269,7.01322826573375
"22",6,109,6,0,16.0009997198976,4.88396930041753,11.1933247206463,5,4.93808225256013,4.92718412364664,0,6,2,1,11,4,0,0.0721687836487032,4.76082148390327,2.88484488448159,8.04939680295372,14.1052267513795,5,5.0661488373595,1.58535539215686,0,1,0,0,2,1,-7.79267467754047,714.553856540801,7.18708664335714
"23",6,106,6,0,16.0009979284854,4.84467353734698,11.1147208800467,5,4.92838427784391,4.91742425684301,0,6,2,1,11,4,0,0.0721687836487032,4.85845255684109,2.98247595741941,7.97895518115199,14.2389405057191,4,5.0341076502814,1.5994576185671,0,1,0,0,2,1,-8.3993188034659,684.440905470197,6.58502665202918
"24",12,70,3,0,31.972072785356,5.49514821846945,11.775436149089,4,5.08352471316228,4.76905115565238,0,1,10,3,3,1,0,0.321465769612263,3.60479497143588,1.63320878672987,6.65658438677004,16.7490544440087,4,5.9277590122743,3.8342974040632,0,2,0,0,0,0,-7.12993501433226,439.266715443369,6.61978875828839
"25",12,70,3,0,31.9726785685682,5.76620937197736,11.770357957851,4,5.11134361319664,4.78898047934219,0,1,11,3,1,1,0,0.448145712176571,3.32059317216986,1.46516646523445,5.54277085100003,16.1662483043238,4,5.95047977892415,4.34667119565217,0,2,0,0,0,0,-9.42081080257459,840.40960661917,6.13667713987954
