,bioactivity_class,molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Hydrogen Donors,Number of Hydrogen Acceptors,OWPC,pIC50
5603,min effect,CHEMBL3642609,Cc1ccc(NC(=O)COc2cccc(C3(C)CCSC(N)=N3)c2)cc1O,385.48900000000015,3.0,6.0,3.384920000000001,5.102372908709558
5604,min effect,CHEMBL3642616,Cc1ccc(NC(=O)COc2cccc(C3(C)CCSC(N)=N3)c2)cc1F,387.48000000000013,2.0,5.0,3.8184200000000015,5.096910013008055
5605,min effect,CHEMBL3642601,CC1(c2cccc(OCC(=O)Nc3ccc(Cl)cc3)c2)CCSC(N)=N1,389.9080000000001,2.0,5.0,4.024300000000002,5.5376020021010435
5606,min effect,CHEMBL3642602,CC1(c2cccc(OCC(=O)Nc3cccc(O)c3)c2)CCSC(N)=N1,371.46200000000016,3.0,6.0,3.076500000000001,5.154901959985742
5607,min effect,CHEMBL3642617,CC1(c2cccc(OCCCc3ccccc3)c2)CCSC(N)=N1,340.49200000000013,1.0,4.0,4.365000000000003,5.552841968657781
5608,min effect,CHEMBL3949846,CCOC(=O)C=Cc1cccc(C2(C)CCSC(=N)N2)c1,304.415,2.0,4.0,3.1393700000000004,5.301029995663981
5609,min effect,CHEMBL3642599,CC1(c2cccc(/C=C/c3ccc(Cl)cc3)c2)CCSC(N)=N1,342.8950000000001,1.0,3.0,5.1772000000000045,5.113509274827518
5610,min effect,CHEMBL3642624,CC1(c2cccc(C(=O)Nc3ccc(Cl)cn3)c2)CCSC(N)=N1,360.8700000000002,2.0,5.0,3.6541000000000015,5.823908740944319
5611,min effect,CHEMBL3642622,CC1(c2cccc(OCCCc3ccc(Cl)cc3)c2)CCSC(N)=N1,374.9370000000001,1.0,4.0,5.018400000000005,5.397940008672037
5612,min effect,CHEMBL3955419,CC1(c2cccc(C=CC(=O)Nc3ccc(Cl)cc3)c2)CCSC(=N)N1,385.92000000000013,3.0,3.0,4.868370000000004,5.346787486224656
5613,min effect,CHEMBL3919635,CCOC(=O)C(F)=Cc1cccc(C2(C)CCSC(=N)N2)c1,322.405,2.0,4.0,3.436570000000001,5.09151498112135
5614,min effect,CHEMBL3642608,CC1(c2cccc(/C=C/c3ccc(Cl)cn3)c2)CCSC(N)=N1,343.88300000000015,1.0,4.0,4.572200000000004,5.229147988357855
