naAromAtom,nAtom,nN,nO,nS,nF,nCl,BCUTw-1h,BCUTp-1l,BCUTp-1h,nBondsD,SpMax1_Bhs,SpMax2_Bhs,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C3SP3,C4SP3,SCH-7,SC-3,VC-3,SPC-4,MIC0,nAtomLAC,piPC6,R_TpiPCTPC,n5Ring,n6Ring,nFRing,nF9Ring,nF10Ring,nFG12Ring,nHeteroRing,n6HeteroRing,VE3_D,VR1_D,pIC50
18,67,1,1,0,0.0,0.0,15.994922713816724,6.656434067105157,9.9007873210029,0.0,4.067311331127891,3.9588676430306777,0,0,13,5,4,1,0,0.5268075708737429,1.4831632475943928,0.918921352080684,3.5214438458680664,9.437712739730307,2,6.220838648172827,6.373532755653883,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,-17.74310325457098,432.6675020289502,6.455931955649724
24,95,3,9,0,2.0,0.0,18.999422021667467,4.2352504806518585,10.961279885317335,5.0,4.96244967188833,4.854152965814709,0,5,18,6,2,1,0,0.4660258384485472,4.053483376419619,1.7105047600028256,8.67803126819667,16.416644186228186,5,6.607241227714978,5.225155703671327,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.027942270136995,676.2295520537772,6.920818753952375
12,89,5,5,0,1.0,0.0,18.99841051405765,4.603146090950965,10.97927039532793,4.0,5.039197843314019,4.8080841789794695,0,6,7,2,7,3,0,0.14433756729740646,3.2200302997836365,1.8561206976919449,7.167423157820458,15.245863839714866,6,5.140932295044113,2.3414003759398496,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-9.08488925491161,509.7220067474514,5.946921556516579
12,89,5,5,0,0.0,0.0,15.998967768818181,4.878313076953528,10.980692126263106,4.0,4.798655605734337,4.797849224072487,0,6,7,2,7,3,0,0.14433756729740646,3.1554680413835876,1.8812847945374276,5.989374508437093,13.857789146715605,6,5.1232196548434015,2.375563788659794,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-9.316617126020287,463.9136930760858,5.7594507517174005
18,101,3,9,0,2.0,0.0,18.999422020810567,4.23526810455324,10.961845037351011,5.0,5.102219634611174,5.006018055137933,0,5,14,4,2,3,0,0.4660258384485472,4.053483376419618,1.9064091734266488,8.678031268196667,16.078841440696216,5,6.343550854337575,4.295697661713287,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.027942270136936,676.2295520537767,6.920818753952375
18,101,3,9,0,2.0,0.0,18.999422020810567,4.23526810455324,10.961845037351011,5.0,5.102219634611174,5.006018055137933,0,5,14,4,2,3,0,0.4660258384485472,4.053483376419618,1.9064091734266488,8.678031268196667,16.078841440696216,5,6.343550854337575,4.295697661713287,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.027942270136936,676.2295520537767,5.0
10,96,3,9,0,0.0,0.0,16.00300785479938,4.6864155054092445,10.635948384097276,5.0,4.894600781563649,4.890224219386298,0,5,7,3,4,4,0,0.3692267850265122,3.680257252461925,2.070818176023012,7.893513471332247,14.176614510744555,7,6.093005276662942,3.9077922895462263,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,-22.814477209097056,664.5215145727998,3.8538719643217614
12,34,0,7,0,0.0,0.0,16.001655156759664,4.920513966723572,10.020703063541829,1.0,4.79220773686459,4.390839837091868,0,0,11,2,0,0,0,0.5330114470540577,1.9612093031735096,0.6873379226170295,4.7464021421737845,14.293088650115573,0,5.942963403668036,5.188574938574939,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,-4.615264001343432,244.0889912103782,4.4559319556497226
12,36,0,7,0,0.0,0.0,16.00094109228781,5.000686152549141,9.999017588076653,0.0,4.501808829602044,4.4063929731497815,0,0,10,2,0,0,0,0.547409508396029,2.0294331262159937,0.7410760606929166,4.703502167811346,14.197088645799225,0,5.8815799242035345,4.978776529338327,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,-7.0010872105221145,229.60641317359688,5.619788758288393
12,36,0,7,0,0.0,0.0,16.00094109228781,5.000686152549141,9.999017588076653,0.0,4.501808829602044,4.4063929731497815,0,0,10,2,0,0,0,0.547409508396029,2.0294331262159937,0.7410760606929166,4.703502167811346,14.197088645799225,0,5.8815799242035345,4.978776529338327,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,-7.0010872105221145,229.60641317359688,5.602059991327962
